Wilayah,Nama_Sektor,Nama_Bangunan,Alamat,Nama_Pos_Damkar,Latitude,Longitude
Sudin Damkar-PB Kota Administrasi Jakarta Barat,Sektor Grogol Petamburan,Kantor Sudin Pemadam Kebakaran,"Jalan Tanjung Duren Raya No. 1, RT.12/RW.2, Tanjung Duren Utara, Grogol Petamburan, RT.12/RW.2, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Pos Pemadam Kebakaran Sudin Jakarta Barat,-6.17339375,106.7878641
Sudin Damkar-PB Kota Administrasi Jakarta Barat,Sektor Grogol Petamburan,Kantor Sektor Grogol Petamburan,"Jl. Perdana, RT.10/RW.4, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",Pos Pemadam Kebakaran Sektor Grogol Petamburan,-6.152730271,106.7734356
Sudin Damkar-PB Kota Administrasi Jakarta Barat,Sektor Grogol Petamburan,Pos Pemadam Duta Mas,"Jl. Wijaya Kusuma Blok Tt No.9, RT.8/RW.4, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",Pos Pemadam Kebakaran Duta Mas,-6.15083435,106.7799686
Sudin Damkar-PB Kota Administrasi Jakarta Barat,Sektor Palmerah,Pos  Balakar Palmerah,"Jl. Belibis Terusan No.9, RW.3, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",Pos Pemadam Kebakaran Balakar Palmerah,-6.2027797,106.7924921
Sudin Damkar-PB Kota Administrasi Jakarta Barat,Sektor Palmerah,Pos Damkar Jatipulo,"Jl. Tunjung Raya No.36, RT.14/RW.1, Jatipulo, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430",Pos Pemadam Kebakaran Jatipulo,-6.175649428,106.8040464
Sudin Damkar-PB Kota Administrasi Jakarta Barat,Sektor Tambora,Kantor Sektor Tambora,"Jl. Tiang Bendera I No.2, RT.5/RW.3, Roa Malaka, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11230",Pos Pemadam Kebakaran Sektor Tambora,-6.132792016,106.8089092
Sudin Damkar-PB Kota Administrasi Jakarta Barat,Sektor Tambora,Pos Angke,"Jl. Jamhari No.3, RT.3/RW.1, Angke, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330",Pos Pemadam Kebakaran Angke,-6.14367575,106.8002252
Sudin Damkar-PB Kota Administrasi Jakarta Barat,Sektor Tambora,Pos Krendang,"Jl. Krendang Utara No.222, RT.8/RW.8, Krendang, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11260",Pos Pemadam Kebakaran Krendang,-6.1481733,106.8042323
Sudin Damkar-PB Kota Administrasi Jakarta Barat,Sektor Tambora,Pos Pemadam Kebakaran Jembatan Besi,"Jl. Jemb.2 RT.10/RW.1, Jembatan Besi, Tambora, Jakarta Barat, Jakarta 11320",Pos Pemadam Kebakaran Jembatan Besi,-6.15135155,106.7946032
Sudin Damkar-PB Kota Administrasi Jakarta Barat,Sektor Tamansari,Kantor Sektor Taman Sari,"Jl. Kemukus No.8, RT.9/RW.7, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110",Pos Pemadam Kebakaran Sektor Taman Sari,-6.13430353,106.815183
